match_id,date,venue,city,team1,team2,toss_winner,toss_decision,winner,tournament_year,toss_winner_team,winning_team,losing_team,toss_match_winner_same,tournament_edition,host_nation,match_number_in_tournament
1942,2003-02-09,"Newlands, Cape Town",Cape Town,West Indies,South Africa,0,bat,0,2003,West Indies,West Indies,South Africa,True,2003 South Africa,South Africa,1
1943,2003-02-10,Harare Sports Club,Harare,Zimbabwe,Namibia,1,field,0,2003,Namibia,Zimbabwe,Namibia,False,2003 South Africa,South Africa,2
1944,2003-02-10,"Goodyear Park, Bloemfontein",Bloemfontein,Sri Lanka,New Zealand,1,field,0,2003,New Zealand,Sri Lanka,New Zealand,False,2003 South Africa,South Africa,3
1945,2003-02-11,"New Wanderers Stadium, Johannesburg",Johannesburg,Australia,Pakistan,1,field,0,2003,Pakistan,Australia,Pakistan,False,2003 South Africa,South Africa,4
1946,2003-02-11,"Kingsmead, Durban",Durban,Canada,Bangladesh,0,bat,0,2003,Canada,Canada,Bangladesh,True,2003 South Africa,South Africa,5
1947,2003-02-12,"North West Cricket Stadium, Potchefstroom",Potchefstroom,Kenya,South Africa,0,bat,1,2003,Kenya,South Africa,Kenya,False,2003 South Africa,South Africa,6
1948,2003-02-12,"Boland Bank Park, Paarl",Paarl,India,Netherlands,0,bat,0,2003,India,India,Netherlands,True,2003 South Africa,South Africa,7
1949,2003-02-13,"St George's Park, Port Elizabeth",Gqeberha,New Zealand,West Indies,1,field,0,2003,West Indies,New Zealand,West Indies,False,2003 South Africa,South Africa,8
1951,2003-02-15,"SuperSport Park, Centurion",Centurion,India,Australia,0,bat,1,2003,India,Australia,India,False,2003 South Africa,South Africa,9
1952,2003-02-15,"Newlands, Cape Town",Cape Town,Canada,Kenya,0,bat,1,2003,Canada,Kenya,Canada,False,2003 South Africa,South Africa,10
1953,2003-02-16,"Buffalo Park, East London",East London,Netherlands,England,1,field,1,2003,England,England,Netherlands,True,2003 South Africa,South Africa,11
1954,2003-02-16,"De Beers Diamond Oval, Kimberley",Kimberley,Pakistan,Namibia,0,bat,0,2003,Pakistan,Pakistan,Namibia,True,2003 South Africa,South Africa,12
1955,2003-02-16,"New Wanderers Stadium, Johannesburg",Johannesburg,South Africa,New Zealand,0,bat,1,2003,South Africa,New Zealand,South Africa,False,2003 South Africa,South Africa,13
1957,2003-02-19,Harare Sports Club,Harare,India,Zimbabwe,1,field,0,2003,Zimbabwe,India,Zimbabwe,False,2003 South Africa,South Africa,14
1958,2003-02-19,"Boland Bank Park, Paarl",Paarl,Canada,Sri Lanka,1,field,1,2003,Sri Lanka,Sri Lanka,Canada,True,2003 South Africa,South Africa,15
1959,2003-02-19,"St George's Park, Port Elizabeth",Gqeberha,England,Namibia,1,field,0,2003,Namibia,England,Namibia,False,2003 South Africa,South Africa,16
1961,2003-02-22,"Goodyear Park, Bloemfontein",Bloemfontein,Bangladesh,South Africa,1,field,1,2003,South Africa,South Africa,Bangladesh,True,2003 South Africa,South Africa,17
1962,2003-02-22,"Newlands, Cape Town",Cape Town,England,Pakistan,0,bat,0,2003,England,England,Pakistan,True,2003 South Africa,South Africa,18
1963,2003-02-23,"SuperSport Park, Centurion",Centurion,Canada,West Indies,1,field,1,2003,West Indies,West Indies,Canada,True,2003 South Africa,South Africa,19
1964,2003-02-23,"City Oval, Pietermaritzburg",Pietermaritzburg,India,Namibia,1,field,0,2003,Namibia,India,Namibia,False,2003 South Africa,South Africa,20
1965,2003-02-24,"Gymkhana Club Ground, Nairobi",Nairobi,Kenya,Sri Lanka,1,field,0,2003,Sri Lanka,Kenya,Sri Lanka,False,2003 South Africa,South Africa,21
1966,2003-02-24,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,Australia,0,bat,1,2003,Zimbabwe,Australia,Zimbabwe,False,2003 South Africa,South Africa,22
1967,2003-02-25,"Boland Bank Park, Paarl",Paarl,Pakistan,Netherlands,1,field,0,2003,Netherlands,Pakistan,Netherlands,False,2003 South Africa,South Africa,23
